,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,#BW_EXTENDED,VARIANT,GLOSS,FEAT,COND-T,COND-S,EXAMPLES,D3SEG,D3TOK,ATBSEG,ATBTOK,STATUS,COMMENTS,NOTES
157,131,,MORPH,[IVBuff],Buffer,iy,iy/STEM,iy/STEM,MSA,,,#-iy else,_,ترمِي,,,,,,,
158,132,,MORPH,[IVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-a> u-suff z-suff else,_,تقرَأ,,,,,,,
159,133,,MORPH,[IVBuff],Buffer,a&,a>/STEM,a>/STEM,MSA,,,#-a> u-suff z-suff enc0,_,تقرَؤه,,a>,,a>,,,
160,134,,MORPH,[IVBuff],Buffer,a&,a>/STEM,a>/STEM,MSA,,,#-a> u-suff else,_,تقرَؤنَ,,,,,,,
161,135,,MORPH,[IVBuff],Buffer,a|,a|/STEM,a|/STEM,MSA,,,#-a> A-null,_,تقرَآ,,,,,,,
162,136,,MORPH,[IVBuff],Buffer,a&,a&/STEM,a&/STEM,MSA,,,#-a> w-suff,_,تقرَؤوا,,,,,,,
163,137,,MORPH,[IVBuff],Buffer,a},a}/STEM,a}/STEM,MSA,,,#-a> y-suff||i-suff,_,تقرَئي، لَتقرَئِنْ,,,,,,,
164,138,,MORPH,[IVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-a> else,_,تقرَأَ,,,,,,,
165,139,,MORPH,[IVBuff],Buffer,u},u}/STEM,u}/STEM,MSA,,,#-u& y-suff,_,تبطُئي,,,,,,,
166,140,,MORPH,[IVBuff],Buffer,u&,u&/STEM,u&/STEM,MSA,,,#-u& else,_,تبطُؤ,,,,,,,
167,141,,MORPH,[IVBuff],Buffer,aA&,A&/STEM,A&/STEM,MSA,,,#-A' u-suff z-suff enc0,_,يشَاؤه,,A',,A',,,
168,142,,MORPH,[IVBuff],Buffer,aA',aA'/STEM,a>/STEM,MSA,,,#-A' u-suff z-suff else,_,يشَاءُ,,,,,,,
169,143,,MORPH,[IVBuff],Buffer,aA&,A&/STEM,A&/STEM,MSA,,,#-A' u-suff else,_,يشَاؤنَ,,,,,,,
170,144,,MORPH,[IVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-A' c-suff,_,يشأْ، يشأْه,,,,,,,
171,145,,MORPH,[IVBuff],Buffer,aA',aA'/STEM,a>/STEM,MSA,,,#-A' A-suff||a-suff,_,يشَاءَ، يشاءَانِ,,,,,,,
172,146,,MORPH,[IVBuff],Buffer,aA&,A&/STEM,A&/STEM,MSA,,,#-A' w-suff,_,يشَاؤون,,,,,,,
173,147,,MORPH,[IVBuff],Buffer,aA},A}/STEM,A}/STEM,MSA,,,#-A' y-suff||i-suff,_,تشَائين، تشائِنْ,,,,,,,
174,148,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,uw'/STEM,MSA,,,#-uw' u-suff z-suff,_,تسوءُ، تسوُءُها,,,,,,,
175,149,,MORPH,[IVBuff],Buffer,uw&,uw'/STEM,uw'/STEM,MSA,,,#-uw' u-suff else,_,تسوؤُنَ,,,,,,,
176,150,,MORPH,[IVBuff],Buffer,u&,u&/STEM,uw&/STEM,MSA,,,#-uw' c-suff,_,يسؤْنَ,,,,,,,
177,151,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,uw'/STEM,MSA,,,#-uw' A-suff||a-suff||w-suff,_,يسُوءانِ، تسُوءَه، تسوءُونَ,,,,,,,
178,152,,MORPH,[IVBuff],Buffer,uw},uw}/STEM,uw}/STEM,MSA,,,#-uw' y-suff||i-suff,_,تسُوئينَ، تسوئِنْ,,,,,,,
179,153,,MORPH,[IVBuff],Buffer,iy',iy'/STEM,iy'/STEM,MSA,,,#-iy' z-suff||c-suff v-suff else,_,يستضِيء,,,,,,,
180,154,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,iy}/STEM,MSA,,,#-iy' z-suff||c-suff v-suff enc0,_,يستضِيئها,,iy',,iy',,,
181,155,,MORPH,[IVBuff],Buffer,i},i}/STEM,i}/STEM,MSA,,,#-iy' z-suff||c-suff else,_,يستضِئ، يستضِئنَ,,,,,,,
182,156,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,iy}/STEM,MSA,,,#-iy' else,_,يستضِيئانِ، تستضِيئينَ,,,,,,,
183,157,,MORPH,[IVBuff],Buffer,},}/STEM,}/STEM,MSA,,,#-}iy y-suff,_,ترتئينْ,,,,,,,
184,158,,MORPH,[IVBuff],Buffer,&,&/STEM,&/STEM,MSA,,,#-}iy w-suff,_,يرتؤونَ,,,,,,,
185,159,,MORPH,[IVBuff],Buffer,}iy,}i/STEM,}i/STEM,MSA,,,#-}iy z-suff mod:is,_,يرتَئِي,,,,,,,
186,160,,MORPH,[IVBuff],Buffer,}i,}i/STEM,}i/STEM,MSA,,,#-}iy z-suff else,_,يرتئِ,,,,,,,
187,161,,MORPH,[IVBuff],Buffer,}iy,}iy/STEM,}iy/STEM,MSA,,,#-}iy else,_,يرتئيانِ، ترتئيْنَ,,,,,,,
188,162,,MORPH,[IVBuff],Buffer,o>,>/STEM,>/STEM,MSA,,,#->ay w-suff||y-suff,_,ينْأُوا,,,,,,,
189,163,,MORPH,[IVBuff],Buffer,o>a,>a/STEM,>a/STEM,MSA,,,#->ay z-suff else,_,ينْأَ,,,,,,,
190,164,,MORPH,[IVBuff],Buffer,o>aY,>aY/STEM,>aY/STEM,MSA,,,#->ay z-suff mod:is else,_,ينْأَى,,,,,,,
191,165,,MORPH,[IVBuff],Buffer,o|,|/STEM,|/STEM,MSA,,,#->ay z-suff mod:is enc0,_,ينْآهُ,,o>aY,,o>aY,,,
192,166,,MORPH,[IVBuff],Buffer,o>ay,>ay/STEM,>ay/STEM,MSA,,,#->ay else,_,ينْأَيَنَ,,,,,,,
193,167,,MORPH,[IVBuff],Buffer,_,_,_,MSA,,,else,_,يَكْتُبُ,,,,,,,
194,,,,Imperfective Verb Suffixes (Indicative Mood),,,,,,,,,,,,,,,,,
195,168,,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-aY||#-uw||#-aA||#->ay,mod:is z-suff,نرا، نرى، ندعو,,,,,,,
196,169,,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-iy||#-}iy,mod:is z-suff #^iy,نرمي,,,,,,,
197,170,,MORPH,[IVSuff.I.1P],IVSuff.1P,u,u/IVSUFF_MOOD:I,u/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,else,mod:is v-suff u-suff z-suff,نكتبُ,,,,,,,
198,171,,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-aY||#-uw||#-aA||#->ay,mod:is z-suff,أراه، أرى,,,,,,,
199,172,,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-iy||#-}iy,mod:is z-suff #^iy,أرمي,,,,,,,
200,173,,MORPH,[IVSuff.I.1S],IVSuff.1S,u,u/IVSUFF_MOOD:I,u/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,else,mod:is v-suff u-suff z-suff,أكتبُ,,,,,,,
201,174,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,#-aY||#-uw||#-aA||#->ay,mod:is z-suff,ترا، ترى,,,,,,,
202,175,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,#-iy||#-}iy,mod:is z-suff #^iy,ترمي,,,,,,,
203,176,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,u,u/IVSUFF_MOOD:I,u/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,else,mod:is v-suff u-suff z-suff,تكتبُ,,,,,,,
204,177,,MORPH,[IVSuff.I.2D],IVSuff.2D,ni,ni/IVSUFF_SUBJ:D_MOOD:I,ni/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,#-a>,mod:is A-null #^i,تقرآنِ,,,,,,,
205,178,,MORPH,[IVSuff.I.2D],IVSuff.2D,aAni,Ani/IVSUFF_SUBJ:D_MOOD:I,Ani/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,else,mod:is v-suff A-suff #^i,تكتبَانِ,,,,,,,
206,179,,MORPH,[IVSuff.I.2MP],IVSuff.2MP,awona,awna/IVSUFF_SUBJ:MP_MOOD:I,awna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,#-aY||#-aA||#->ay,mod:is w-suff,تروْنَ,,,,,,,
207,180,,MORPH,[IVSuff.I.2MP],IVSuff.2MP,uwna,uwna/IVSUFF_SUBJ:MP_MOOD:I,uwna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,else,mod:is v-suff w-suff,تكتبونَ,,,,,,,
208,181,,MORPH,[IVSuff.I.2FS],IVSuff.2FS,ayona,ayna/IVSUFF_SUBJ:2FS_MOOD:I,ayna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,#-aY||#-aA||#->ay,mod:is y-suff,ترَيْنَ,,,,,,,
209,182,,MORPH,[IVSuff.I.2FS],IVSuff.2FS,iyna,iyna/IVSUFF_SUBJ:2FS_MOOD:I,iyna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,else,mod:is v-suff y-suff,تكتبِينَ,,,,,,,
210,183,,MORPH,[IVSuff.I.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:FP,~a/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,#n,mod:is c-suff,تسكنَّ,,,,,,,
211,184,,MORPH,[IVSuff.I.2FP],IVSuff.2FP,ona,na/IVSUFF_SUBJ:FP,na/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,else,mod:is c-suff,تكتبْنَ,,,,,,,
212,185,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,#-aY||#-uw||#-aA||#->ay,mod:is z-suff,يرا، يرى,,,,,,,
213,186,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,#-iy||#-}iy,mod:is z-suff #^iy,يرمي,,,,,,,
214,187,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,u,u/IVSUFF_MOOD:I,u/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,else,mod:is v-suff u-suff z-suff,يكتبُ,,,,,,,
215,188,,MORPH,[IVSuff.I.3MD],IVSuff.3MD,ni,ni/IVSUFF_SUBJ:D_MOOD:I,ni/IVSUFF_SUBJ:3MD_MOOD:I,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:i,#-a>,mod:is A-null #^i,تقرآنِ,,,,,,,
216,189,,MORPH,[IVSuff.I.3MD],IVSuff.3MD,aAni,Ani/IVSUFF_SUBJ:D_MOOD:I,Ani/IVSUFF_SUBJ:3MD_MOOD:I,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:i,else,mod:is v-suff A-suff #^i,يكتبَانِ,,,,,,,
217,190,,MORPH,[IVSuff.I.3MP],IVSuff.3MP,awona,awna/IVSUFF_SUBJ:MP_MOOD:I,awna/IVSUFF_SUBJ:3MP_MOOD:I,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:i,#-aY||#-aA||#->ay,mod:is w-suff,يرَوْنَ,,,,,,,
218,191,,MORPH,[IVSuff.I.3MP],IVSuff.3MP,uwna,uwna/IVSUFF_SUBJ:MP_MOOD:I,uwna/IVSUFF_SUBJ:3MP_MOOD:I,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:i,else,mod:is v-suff w-suff,يكتبُونَ,,,,,,,
219,192,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,#-aY||#-uw||#-aA||#->ay,mod:is z-suff,ترا، ترى,,,,,,,
220,193,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,_,(null)/IVSUFF_MOOD:I,(null)/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,#-iy||#-}iy,mod:is z-suff #^iy,ترمي,,,,,,,
221,194,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,u,u/IVSUFF_MOOD:I,u/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,else,mod:is v-suff u-suff z-suff,تكتبُ,,,,,,,
222,195,,MORPH,[IVSuff.I.3FD],IVSuff.3FD,ni,ni/IVSUFF_SUBJ:D_MOOD:I,ni/IVSUFF_SUBJ:3FD_MOOD:I,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:i,#-a>,mod:is A-null #^i,تقرآنِ,,,,,,,
223,196,,MORPH,[IVSuff.I.3FD],IVSuff.3FD,aAni,Ani/IVSUFF_SUBJ:D_MOOD:I,Ani/IVSUFF_SUBJ:3FD_MOOD:I,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:i,else,mod:is v-suff A-suff #^i,تكتبَانِ,,,,,,,
224,197,,MORPH,[IVSuff.I.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:FP,~a/IVSUFF_SUBJ:3FP_MOOD:I,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:i,#n,mod:is c-suff,يسكنَّ,,,,,,,
225,198,,MORPH,[IVSuff.I.3FP],IVSuff.3FP,ona,na/IVSUFF_SUBJ:FP,na/IVSUFF_SUBJ:3FP_MOOD:I,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:i,else,mod:is c-suff,يكتبْنَ,,,,,,,
226,,,,Imperfective Verb Suffixes (Jussive Mood),,,,,,,,,,,,,,,,,
227,199,,MORPH,[IVSuff.J.1P],IVSuff.1P,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,#-aY||#-uw||#-aA||#->ay,z-suff,نر,,,,,,,
228,200,,MORPH,[IVSuff.J.1P],IVSuff.1P,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,#-iy||#-}iy,z-suff #^i,نرمِ,,,,,,,
229,201,,MORPH,[IVSuff.J.1P],IVSuff.1P,a,a/IVSUFF_MOOD:J,a/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,else gem,v-suff a-suff,نمدَّ,,,,,,,
230,202,,MORPH,[IVSuff.J.1P],IVSuff.1P,o,o/IVSUFF_MOOD:J,o/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,else else,z-suff c-suff,نكتبْ,,,,,,,
231,203,,MORPH,[IVSuff.J.1S],IVSuff.1S,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,#-aY||#-uw||#-aA||#->ay,z-suff,أر,,,,,,,
232,204,,MORPH,[IVSuff.J.1S],IVSuff.1S,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,#-iy||#-}iy,z-suff #^i,أرمِ,,,,,,,
233,205,,MORPH,[IVSuff.J.1S],IVSuff.1S,a,a/IVSUFF_MOOD:J,a/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,else gem,v-suff a-suff,أمدَّ,,,,,,,
234,206,,MORPH,[IVSuff.J.1S],IVSuff.1S,o,o/IVSUFF_MOOD:J,o/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,else else,z-suff c-suff,أكتبْ,,,,,,,
235,207,,MORPH,[IVSuff.J.2D],IVSuff.2D,_,(null)/IVSUFF_SUBJ:2D_MOOD:J,(null)/IVSUFF_SUBJ:2D_MOOD:J,MSA,[du.],asp:i per:2 gen:u num:d mod:j,#-a>,A-null,تقرآ,,,,,,,
236,208,,MORPH,[IVSuff.J.2D],IVSuff.2D,aA,A/IVSUFF_SUBJ:2D_MOOD:J,A/IVSUFF_SUBJ:2D_MOOD:J,MSA,[du.],asp:i per:2 gen:u num:d mod:j,else,v-suff A-suff,تكتبَا,,,,,,,
237,209,,MORPH,[IVSuff.J.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:2FP_MOOD:J,~a/IVSUFF_SUBJ:2FP_MOOD:J,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:j,#n,c-suff,تسكنَّ,,,,,,,
238,210,,MORPH,[IVSuff.J.2FP],IVSuff.2FP,ona,na/IVSUFF_SUBJ:2FP_MOOD:J,na/IVSUFF_SUBJ:2FP_MOOD:J,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:j,else,c-suff,تكتبْنَ,,,,,,,
239,211,,MORPH,[IVSuff.J.2FS],IVSuff.2FS,ayo,ay/IVSUFF_SUBJ:2FS_MOOD:SJ,ay/IVSUFF_SUBJ:2FS_MOOD:J,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:j,#-aY||#-aA||#->ay,y-suff #^ay,ترَيْ,,,,,,,
240,212,,MORPH,[IVSuff.J.2FS],IVSuff.2FS,iy,iy/IVSUFF_SUBJ:2FS_MOOD:SJ,iy/IVSUFF_SUBJ:2FS_MOOD:J,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:j,else,v-suff y-suff #^iy,تكتبِي,,,,,,,
241,213,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,awo,aw/IVSUFF_SUBJ:2MP_MOOD:J,aw/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,#-aY||#-aA||#->ay enc0,w-suff,تروْهَا,,awoA,,awoA,,,
242,214,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,awoAo,awA/IVSUFF_SUBJ:2MP_MOOD:J,awA/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,#-aY||#-aA||#->ay else,w-suff,ترَوْاْ,,,,,,,
243,215,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,uw,uw/IVSUFF_SUBJ:2MP_MOOD:J,uw/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,else enc0,v-suff w-suff,تكتبُوه,,uwA,,uwA,,,
244,216,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,uwAo,uwA/IVSUFF_SUBJ:2MP_MOOD:J,uwA/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,else else,v-suff w-suff,تكتبُواْ,,,,,,,
245,217,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,#-aY||#-uw||#-aA||#->ay,z-suff,تر,,,,,,,
246,218,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,#-iy||#-}iy,z-suff #^i,ترمِ,,,,,,,
247,219,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,a,a/IVSUFF_MOOD:J,a/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,else gem,v-suff a-suff,تمدَّ,,,,,,,
248,220,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,o,o/IVSUFF_MOOD:J,o/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,else else,z-suff c-suff,تكتبْ,,,,,,,
249,221,,MORPH,[IVSuff.J.3FD],IVSuff.3FD,_,(null)/IVSUFF_SUBJ:3FD_MOOD:J,(null)/IVSUFF_SUBJ:3FD_MOOD:J,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:j,#-a>,A-null,تقرآ,,,,,,,
250,222,,MORPH,[IVSuff.J.3FD],IVSuff.3FD,aA,aA/IVSUFF_SUBJ:3FD_MOOD:J,aA/IVSUFF_SUBJ:3FD_MOOD:J,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:j,else,v-suff A-suff,تكتبَا,,,,,,,
251,223,,MORPH,[IVSuff.J.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:3FP_MOOD:J,~a/IVSUFF_SUBJ:3FP_MOOD:J,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:j,#n,c-suff,يسكنَّ,,,,,,,
252,224,,MORPH,[IVSuff.J.3FP],IVSuff.3FP,ona,na/IVSUFF_SUBJ:3FP_MOOD:J,na/IVSUFF_SUBJ:3FP_MOOD:J,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:j,else,c-suff,يكتبْنَ,,,,,,,
253,225,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,#-aY||#-uw||#-aA||#->ay,z-suff,تر,,,,,,,
254,226,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,#-iy||#-}iy,z-suff #^i,ترمِ,,,,,,,
255,227,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,a,a/IVSUFF_MOOD:J,a/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,else gem,v-suff a-suff,تمدَّ,,,,,,,
256,228,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,o,o/IVSUFF_MOOD:J,o/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,else else,z-suff c-suff,تكتبْ,,,,,,,
257,229,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,_,(null)/IVSUFF_SUBJ:3MD_MOOD:J,(null)/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:2 gen:m num:d mod:j,#-a>,A-null,تقرآ,,,,,,,
258,230,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,aA,aA/IVSUFF_SUBJ:3MD_MOOD:J,aA/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:j,#-uw,v-suff A-suff,يكتبَا,,,,,,,
259,231,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,aA,A/IVSUFF_SUBJ:3MD_MOOD:J,A/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:j,else,v-suff A-suff,يكتبَا,,,,,,,
260,232,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,awo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,#-aY||#-aA||#->ay enc0,w-suff,يرَوْها,,awoA,,awoA,,,
261,233,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,awoAo,awA/IVSUFF_SUBJ:MP_MOOD:SJ,awA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,#-aY||#-aA||#->ay else,w-suff,يرَوْاْ,,,,,,,
262,234,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,uw,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,else enc0,v-suff w-suff,يكتبُوه,,uwA,,uwA,,,
263,235,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,uwAo,uwA/IVSUFF_SUBJ:MP_MOOD:SJ,uwA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,else else,v-suff w-suff,يكتبُواْ,,,,,,,
264,236,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,#-aY||#-uw||#-aA||#->ay,z-suff,ير ,,,,,,,
265,237,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,_,(null)/IVSUFF_MOOD:J,(null)/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,#-iy||#-}iy,z-suff #^i,يرمِ,,,,,,,
266,238,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,a,a/IVSUFF_MOOD:J,a/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,else gem,v-suff a-suff,يمدَّ,,,,,,,
267,239,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,o,o/IVSUFF_MOOD:J,o/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,else else,z-suff c-suff,يكتبْ,,,,,,,
268,,,,Imperfective Verb Suffixes (Subjunctive Mood),,,,,,,,,,,,,,,,,
269,240,,MORPH,[IVSuff.S.1P],IVSuff.1P,_,(null)/IVSUFF_MOOD:S,(null)/IVSUFF_SUBJ:1P_MOOD:S,MSA,[pl.],asp:i per:1 gen:u num:p mod:s,#-aY||#-aA||#->ay,mod:is z-suff,نرا,,,,,,,
270,241,,MORPH,[IVSuff.S.1P],IVSuff.1P,a,a/IVSUFF_MOOD:S,a/IVSUFF_SUBJ:1P_MOOD:S,MSA,[pl.],asp:i per:1 gen:u num:p mod:s,else,mod:is v-suff z-suff a-suff,نكتبَ,,,,,,,
