,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
160,300.11331,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,#iy||#A}iy,,MS #^iy,#iy,محامي، محاميهِ، محاميَّ,OK,GOOD,1,
161,300.11331,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى ايدولوجيا,OK,GOOD,1,
162,300.1131,,MORPH,[NSuff.XXCN],NSuff.MSCN,u,u/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else !POSS_PRON-iy,,MS u-suff,Base Triptote-Sound,كتابُ,OK,GOOD,0,
163,300.1131,,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
164,300.11311,,MORPH,[NSuff.XXCN],NSuff.MSCN,uw,uw/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,FIVE-NOUNS !POSS_PRON-iy,,MS,FIVE-NOUNS,أبو أبوه,OK,GOOD,1,
165,300.11311,,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,FIVE-NOUNS POSS_PRON-iy,,MS,FIVE-NOUNS,أبي,OK,GOOD,1,
166,300.11311,,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,#iy||#A}iy,,MS #^iy,#iy,محامي، محاميهِ، محاميَّ,OK,GOOD,1,
167,300.11311,,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى,OK,GOOD,1,
168,300.1134,,MORPH,[NSuff.XXCU],NSuff.MSCU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:c cas:u,_,,MS UCase,Base UCase,كتاب,OK,GOOD,0,
169,300.1211,,MORPH,[NSuff.XXIN],NSuff.MDIN,Ani,Ani/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],MSA,form_gen:m form_num:d stt:i cas:n,else,,MD A-suff,Base Triptote-Sound,كتابان,OK,GOOD,0,
170,300.12111,,MORPH,[NSuff.XXIN],NSuff.MDIN,|ni,|ni/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],MSA,form_gen:m form_num:d stt:i cas:n,#a>,,MD A-suff,#a>,مبدآن,OK,GOOD,1,
171,300.1212,,MORPH,[NSuff.XXIA],NSuff.MDIA,ayoni,ayoni/NSUFF_MASC_DU_ACC,two_[masc.du.indef.acc.],MSA,form_gen:m form_num:d stt:i cas:a,_,,MD y-suff,Base Triptote-Sound,كتابين,OK,GOOD,0,
172,300.1213,,MORPH,[NSuff.XXIG],NSuff.MDIG,ayoni,ayoni/NSUFF_MASC_DU_GEN,two_[masc.du.indef.gen.],MSA,form_gen:m form_num:d stt:i cas:g,_,,MD y-suff,Base Triptote-Sound,كتابين,OK,GOOD,0,
173,300.1214,,MORPH,[NSuff.XXIU],NSuff.MDIU,ayon,ayon/NSUFF_MASC_DU,two_[masc.du.],MSA,form_gen:m form_num:d stt:i cas:u,_,,MD UCase,Base UCase,كتابين,OK,GOOD,0,
174,300.1221,,MORPH,[NSuff.XXDN],NSuff.MDDN,Ani,Ani/NSUFF_MASC_DU_NOM,two_[masc.du.def.nom.],MSA,form_gen:m form_num:d stt:d cas:n,else,,MD A-suff,Base Triptote-Sound,كتابان,OK,GOOD,0,
175,300.12211,,MORPH,[NSuff.XXDN],NSuff.MDDN,|ni,|ni/NSUFF_MASC_DU_NOM,two_[masc.du.def.nom.],MSA,form_gen:m form_num:d stt:d cas:n,#a>,,MD A-suff,#a>,مبدآن,OK,GOOD,1,
176,300.1222,,MORPH,[NSuff.XXDA],NSuff.MDDA,ayoni,ayoni/NSUFF_MASC_DU_ACC,two_[masc.du.def.acc.],MSA,form_gen:m form_num:d stt:d cas:a,_,,MD y-suff,Base Triptote-Sound,كتابين,OK,GOOD,0,
177,300.1223,,MORPH,[NSuff.XXDG],NSuff.MDDG,ayoni,ayoni/NSUFF_MASC_DU_GEN,two_[masc.du.def.gen.],MSA,form_gen:m form_num:d stt:d cas:g,_,,MD y-suff,Base Triptote-Sound,كتابين,OK,GOOD,0,
178,300.1224,,MORPH,[NSuff.XXDU],NSuff.MDDU,ayon,ayon/NSUFF_MASC_DU,two_[masc.du.],MSA,form_gen:m form_num:d stt:d cas:u,_,,MD UCase,Base UCase,كتابين,OK,GOOD,0,
179,300.1231,,MORPH,[NSuff.XXCN],NSuff.MDCN,A,A/NSUFF_MASC_DU_NOM_POSS,two_[masc.du.const.nom.],MSA,form_gen:m form_num:d stt:c cas:n,_,,MD #^A,Base Triptote-Sound,كتابا، كتاباه، كتابايَ,OK,GOOD,0,
180,300.12311,,MORPH,[NSuff.XXCN],NSuff.MDCN,|,|/NSUFF_MASC_DU_NOM_POSS,two_[masc.du.const.nom.],MSA,form_gen:m form_num:d stt:c cas:n,#a> ,,MD A-suff #^A,#a>,مبدآ، مبدآي,OK,GOOD,1,
181,300.1232,,MORPH,[NSuff.XXCA],NSuff.MDCA,ayo,ayo/NSUFF_MASC_DU_ACC_POSS,two_[masc.du.const.acc.],MSA,form_gen:m form_num:d stt:c cas:a,!POSS_PRON-iy,,MD #^ay,Base Triptote-Sound,كتابي، كتابيهِ,OK,GOOD,0,
182,300.1232,,MORPH,[NSuff.XXCA],NSuff.MDCA,ay,ayo/NSUFF_MASC_DU_ACC_POSS,two_[masc.du.const.acc.],MSA,form_gen:m form_num:d stt:c cas:a,POSS_PRON-iy,,MD #^ay,Base Triptote-Sound,كتابَيَّ,OK,GOOD,0,
183,300.1233,,MORPH,[NSuff.XXCG],NSuff.MDCG,ayo,ayo/NSUFF_MASC_DU_GEN_POSS,two_[masc.du.const.gen.],MSA,form_gen:m form_num:d stt:c cas:g,!POSS_PRON-iy,,MD #^ay,Base Triptote-Sound,كتابي، كتابيهِ,OK,GOOD,0,
184,300.1233,,MORPH,[NSuff.XXCG],NSuff.MDCG,ay,ayo/NSUFF_MASC_DU_GEN_POSS,two_[masc.du.const.gen.],MSA,form_gen:m form_num:d stt:c cas:g,POSS_PRON-iy,,MD #^ay,Base Triptote-Sound,كتابَيَّ,OK,GOOD,0,
185,300.1234,,MORPH,[NSuff.XXCU],NSuff.MDCU,ayon,ayon/NSUFF_MASC_DU,two_[masc.du.],MSA,form_gen:m form_num:d stt:c cas:u,_,,MD UCase,Base UCase,كتابين,OK,GOOD,0,
186,300.1311,,MORPH,[NSuff.XXIN],NSuff.MPIN,uwna,uwna/NSUFF_MASC_PL_NOM,[masc.pl.indef.nom],MSA,form_gen:m form_num:p stt:i cas:n,else,,MP w-suff,Base Triptote-Sound,موظفون,OK,GOOD,0,
187,300.13111,,MORPH,[NSuff.XXIN],NSuff.MPIN,awona,awona/NSUFF_MASC_PL_NOM,[masc.pl.indef.nom],MSA,form_gen:m form_num:p stt:i cas:n,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَون,OK,GOOD,1,
188,300.1312,,MORPH,[NSuff.XXIA],NSuff.MPIA,iyna,iyna/NSUFF_MASC_PL_ACC,[masc.pl.indef.acc.],MSA,form_gen:m form_num:p stt:i cas:a,else,,MP y-suff,Base Triptote-Sound,موظفين,OK,GOOD,0,
189,300.13121,,MORPH,[NSuff.XXIA],NSuff.MPIA,ayona,ayona/NSUFF_MASC_PL_ACC,[masc.pl.indef.acc.],MSA,form_gen:m form_num:p stt:i cas:a,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَين,OK,GOOD,1,
190,300.1313,,MORPH,[NSuff.XXIG],NSuff.MPIG,iyna,iyna/NSUFF_MASC_PL_GEN,[masc.pl.indef.gen.],MSA,form_gen:m form_num:p stt:i cas:g,else,,MP y-suff,Base Triptote-Sound,موظفين,OK,GOOD,0,
191,300.13131,,MORPH,[NSuff.XXIG],NSuff.MPIG,ayona,ayona/NSUFF_MASC_PL_GEN,[masc.pl.indef.gen.],MSA,form_gen:m form_num:p stt:i cas:g,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَين,OK,GOOD,1,
192,300.1314,,MORPH,[NSuff.XXIU],NSuff.MPIU,iyn,iyn/NSUFF_MASC_PL,[masc.pl.],MSA,form_gen:m form_num:p stt:i cas:u,else,,MP y-suff UCase,Base UCase,موظفين,OK,GOOD,0,
193,300.1321,,MORPH,[NSuff.XXDN],NSuff.MPDN,uwna,uwna/NSUFF_MASC_PL_NOM,[masc.pl.def.nom.],MSA,form_gen:m form_num:p stt:d cas:n,else,,MP w-suff,Base Triptote-Sound,موظفون,OK,GOOD,0,
194,300.13211,,MORPH,[NSuff.XXDN],NSuff.MPDN,awona,awona/NSUFF_MASC_PL_NOM,[masc.pl.def.nom.],MSA,form_gen:m form_num:p stt:d cas:n,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَون,OK,GOOD,1,
195,300.1322,,MORPH,[NSuff.XXDA],NSuff.MPDA,iyna,iyna/NSUFF_MASC_PL_ACC,[masc.pl.def.acc.],MSA,form_gen:m form_num:p stt:d cas:a,else,,MP y-suff,Base Triptote-Sound,موظفين,OK,GOOD,0,
196,300.13221,,MORPH,[NSuff.XXDA],NSuff.MPDA,ayona,ayona/NSUFF_MASC_PL_ACC,[masc.pl.def.acc.],MSA,form_gen:m form_num:p stt:d cas:a,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَين,OK,GOOD,1,
197,300.1323,,MORPH,[NSuff.XXDG],NSuff.MPDG,iyna,iyna/NSUFF_MASC_PL_GEN,[masc.pl.def.gen.],MSA,form_gen:m form_num:p stt:d cas:g,else,,MP y-suff,Base Triptote-Sound,موظفين,OK,GOOD,0,
198,300.13231,,MORPH,[NSuff.XXDG],NSuff.MPDG,ayona,ayona/NSUFF_MASC_PL_GEN,[masc.pl.def.gen.],MSA,form_gen:m form_num:p stt:d cas:g,#aY-Ap-y||#aA-Ap-w,,MP,#aY-Ap-y,مصطفَين,OK,GOOD,1,
199,300.1324,,MORPH,[NSuff.XXDU],NSuff.MPDU,iyn,iyn/NSUFF_MASC_PL,[masc.pl.],MSA,form_gen:m form_num:p stt:d cas:u,else,,MP y-suff UCase,Base UCase,موظفين,OK,GOOD,0,
200,300.1331,,MORPH,[NSuff.XXCN],NSuff.MPCN,uw,uw/NSUFF_MASC_PL_NOM_POSS,[masc.pl.const.nom.],MSA,form_gen:m form_num:p stt:c cas:n,!POSS_PRON-iy,,MP w-suff,Base Triptote-Sound,موظفو، موظفوهُ,OK,GOOD,0,
201,300.1331,,MORPH,[NSuff.XXCN],NSuff.MPCN,iy,iy/NSUFF_MASC_PL_NOM_POSS,[masc.pl.const.nom.],MSA,form_gen:m form_num:p stt:c cas:n,POSS_PRON-iy,,MP y-suff #^iy,Base Triptote-Sound,موظفيَّ,OK,GOOD,0,
202,300.13311,,MORPH,[NSuff.XXCN],NSuff.MPCN,aw,aw/NSUFF_MASC_PL_NOM_POSS,[masc.pl.const.nom.],MSA,form_gen:m form_num:p stt:c cas:n,#aY-Ap-y||#aA-Ap-w !POSS_PRON-iy,,MP,#aY-Ap-y,مصطفَو,OK,GOOD,1,
203,300.13311,,MORPH,[NSuff.XXCN],NSuff.MPCN,ay,ay/NSUFF_MASC_PL_NOM_POSS,[masc.pl.const.nom.],MSA,form_gen:m form_num:p stt:c cas:n,#aY-Ap-y||#aA-Ap-w POSS_PRON-iy,,MP #^ay,#aY-Ap-y,مصطفَي,OK,GOOD,1,
204,300.1332,,MORPH,[NSuff.XXCA],NSuff.MPCA,iy,iy/NSUFF_MASC_PL_ACC_POSS,[masc.pl.const.acc.],MSA,form_gen:m form_num:p stt:c cas:a,else,,MP y-suff #^iy,Base Triptote-Sound,موظفي، موظفيَّ، موظفيهِ,OK,GOOD,0,
205,300.13321,,MORPH,[NSuff.XXCA],NSuff.MPCA,ay,ay/NSUFF_MASC_PL_ACC_POSS,[masc.pl.const.acc.],MSA,form_gen:m form_num:p stt:c cas:a,#aY-Ap-y||#aA-Ap-w,,MP #^ay,#aY-Ap-y,مصطفَي,OK,GOOD,1,
206,300.1333,,MORPH,[NSuff.XXCG],NSuff.MPCG,iy,iy/NSUFF_MASC_PL_GEN_POSS,[masc.pl.const.gen.],MSA,form_gen:m form_num:p stt:c cas:g,else,,MP y-suff #^iy,Base Triptote-Sound,موظفي، موظفيَّ، موظفيهِ,OK,GOOD,0,
207,300.13331,,MORPH,[NSuff.XXCG],NSuff.MPCG,ay,ay/NSUFF_MASC_PL_GEN_POSS,[masc.pl.const.gen.],MSA,form_gen:m form_num:p stt:c cas:g,#aY-Ap-y||#aA-Ap-w,,MP #^ay,#aY-Ap-y,مصطفَي,OK,GOOD,1,
208,300.1334,,MORPH,[NSuff.XXCU],NSuff.MPCU,iyn,iyn/NSUFF_MASC_PL,[masc.pl.],MSA,form_gen:m form_num:p stt:c cas:u,else,,MP y-suff UCase,Base UCase,موظفين,OK,GOOD,0,
209,300.2111,,MORPH,[NSuff.XXIN],NSuff.FSIN,ap+N,ap/NSUFF_FEM_SG+N/CASE_INDEF_NOM,[fem.sg.]_+_[indef.nom.],MSA,form_gen:f form_num:s stt:i cas:n,else,,FS,Base Triptote-Sound,كتابةٌ,OK,GOOD,0,
210,300.21111,,MORPH,[NSuff.XXIN],NSuff.FSIN,ap+u,ap/NSUFF_FEM_SG+u/CASE_INDEF_NOM,[fem.sg.]_+_[indef.nom.],MSA,form_gen:f form_num:s stt:i cas:n,#dip,,FS,Diptote-Sound,عنترةُ,OK,GOOD,1,
211,300.2112,,MORPH,[NSuff.XXIA],NSuff.FSIA,ap+F,ap/NSUFF_FEM_SG+F/CASE_INDEF_ACC,[fem.sg.]_+_[indef.acc.],MSA,form_gen:f form_num:s stt:i cas:a,else,,FS,Base Triptote-Sound,كتابةً,OK,GOOD,0,
212,300.21121,,MORPH,[NSuff.XXIA],NSuff.FSIA,ap+a,ap/NSUFF_FEM_SG+a/CASE_INDEF_ACC,[fem.sg.]_+_[indef.acc.],MSA,form_gen:f form_num:s stt:i cas:a,#dip,,FS,Diptote-Sound,عنترةَ,OK,GOOD,1,
213,300.2113,,MORPH,[NSuff.XXIG],NSuff.FSIG,ap+K,ap/NSUFF_FEM_SG+K/CASE_INDEF_GEN,[fem.sg.]_+_[indef.gen.],MSA,form_gen:f form_num:s stt:i cas:g,else,,FS,Base Triptote-Sound,كتابةٍ,OK,GOOD,0,
214,300.21131,,MORPH,[NSuff.XXIG],NSuff.FSIG,ap+a,ap/NSUFF_FEM_SG+a/CASE_INDEF_GEN,[fem.sg.]_+_[indef.gen.],MSA,form_gen:f form_num:s stt:i cas:g,#dip,,FS,Diptote-Sound,عنترةَ,OK,GOOD,1,
215,300.21131,,MORPH,[NSuff.XXIG],NSuff.FSIG,ap+K,ap/NSUFF_FEM_SG+K/CASE_INDEF_GEN,[fem.sg.]_+_[indef.gen.],MSA,form_gen:f form_num:s stt:i,X100,,FS100,Compound Hundreds,خمسمئة,OK,GOOD,1,
216,300.2114,,MORPH,[NSuff.XXIU],NSuff.FSIU,ap,ap/NSUFF_FEM_SG,[fem.sg.],MSA,form_gen:f form_num:s stt:i cas:u,,,FS UCase,Base UCase,كتابة,OK,GOOD,0,
217,300.2121,,MORPH,[NSuff.XXDN],NSuff.FSDN,ap+u,ap/NSUFF_FEM_SG+u/CASE_DEF_NOM,[fem.sg.]_+_[def.nom.],MSA,form_gen:f form_num:s stt:d cas:n,_,,FS,Base Triptote-Sound,كتابةُ,OK,GOOD,0,
218,300.2122,,MORPH,[NSuff.XXDA],NSuff.FSDA,ap+a,ap/NSUFF_FEM_SG+a/CASE_DEF_ACC,[fem.sg.]_+_[def.acc.],MSA,form_gen:f form_num:s stt:d cas:a,_,,FS,Base Triptote-Sound,كتابةَ,OK,GOOD,0,
219,300.2123,,MORPH,[NSuff.XXDG],NSuff.FSDG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[def.gen.],MSA,form_gen:f form_num:s stt:d cas:g,_,,FS,Base Triptote-Sound,كتابةِ,OK,GOOD,0,
220,300.21231,,MORPH,[NSuff.XXDG],NSuff.FSDG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[def.gen.],MSA,form_gen:f form_num:s stt:d,X100,,FS100,Compound Hundreds,خمسمئة,OK,GOOD,1,
221,300.2124,,MORPH,[NSuff.XXDU],NSuff.FSDU,ap,ap/NSUFF_FEM_SG,[fem.sg.],MSA,form_gen:f form_num:s stt:d cas:u,_,,FS UCase,Base UCase,الكتابة,OK,GOOD,0,
222,300.2131,,MORPH,[NSuff.XXCN],NSuff.FSCN,ap+u,ap/NSUFF_FEM_SG+u/CASE_DEF_NOM,[fem.sg.]_+_[const.nom.],MSA,form_gen:f form_num:s stt:c cas:n,else,,FS,Base Triptote-Sound,كتابةُ,OK,GOOD,0,
223,300.2131,,MORPH,[NSuff.XXCN],NSuff.FSCN,at+u,ap/NSUFF_FEM_SG+u/CASE_DEF_NOM,[fem.sg.]_+_[const.nom.],MSA,form_gen:f form_num:s stt:c cas:n,POSS_PRON,,FS,Base Triptote-Sound,كتابتُهُ,OK,GOOD,0,
224,300.2131,,MORPH,[NSuff.XXCN],NSuff.FSCN,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.nom.],MSA,form_gen:f form_num:s stt:c cas:n,POSS_PRON-iy,,FS,Base Triptote-Sound,كتابتِي,OK,GOOD,0,
225,300.2132,,MORPH,[NSuff.XXCA],NSuff.FSCA,ap+a,ap/NSUFF_FEM_SG+a/CASE_DEF_ACC,[fem.sg.]_+_[const.acc.],MSA,form_gen:f form_num:s stt:c cas:a,else,,FS,Base Triptote-Sound,كتابةَ,OK,GOOD,0,
226,300.2132,,MORPH,[NSuff.XXCA],NSuff.FSCA,at+a,ap/NSUFF_FEM_SG+a/CASE_DEF_ACC,[fem.sg.]_+_[const.acc.],MSA,form_gen:f form_num:s stt:c cas:a,POSS_PRON,,FS,Base Triptote-Sound,كتابتَهُ,OK,GOOD,0,
227,300.2132,,MORPH,[NSuff.XXCA],NSuff.FSCA,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.acc.],MSA,form_gen:f form_num:s stt:c cas:a,POSS_PRON-iy,,FS,Base Triptote-Sound,كتابتِي,OK,GOOD,0,
228,300.2133,,MORPH,[NSuff.XXCG],NSuff.FSCG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],MSA,form_gen:f form_num:s stt:c cas:g,else,,FS,Base Triptote-Sound,كتابةِ,OK,GOOD,0,
229,300.2133,,MORPH,[NSuff.XXCG],NSuff.FSCG,at+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],MSA,form_gen:f form_num:s stt:c cas:g,POSS_PRON,,FS #^i,Base Triptote-Sound,كتابتِهِ,OK,GOOD,0,
230,300.2133,,MORPH,[NSuff.XXCG],NSuff.FSCG,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.gen.],MSA,form_gen:f form_num:s stt:c cas:g,POSS_PRON-iy,,FS,Base Triptote-Sound,كتابتِي,OK,GOOD,0,
231,300.21331,,MORPH,[NSuff.XXCG],NSuff.FSCG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],MSA,form_gen:f form_num:s stt:c,X100,,FS100,Compound Hundreds,خمسمئة,OK,GOOD,1,
232,300.2134,,MORPH,[NSuff.XXCU],NSuff.FSCU,ap,ap/NSUFF_FEM_SG,[fem.sg.],MSA,form_gen:f form_num:s stt:c cas:u,else,,FS UCase,Base UCase,كتابة,OK,GOOD,0,
233,300.2134,,MORPH,[NSuff.XXCU],NSuff.FSCU,at,ap/NSUFF_FEM_SG,[fem.sg.],MSA,form_gen:f form_num:s stt:c cas:u,POSS_PRON||POSS_PRON-iy,,FS UCase,Base UCase,كتابته,OK,GOOD,1,
234,300.2211,,MORPH,[NSuff.XXIN],NSuff.FDIN,atAni,atAni/NSUFF_FEM_DU_NOM,two_[fem.du.indef.nom.],MSA,form_gen:f form_num:d stt:i cas:n,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
235,300.2212,,MORPH,[NSuff.XXIA],NSuff.FDIA,atayoni,atayoni/NSUFF_FEM_DU_ACC,two_[fem.du.indef.acc.],MSA,form_gen:f form_num:d stt:i cas:a,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
236,300.2213,,MORPH,[NSuff.XXIG],NSuff.FDIG,atayoni,atayoni/NSUFF_FEM_DU_GEN,two_[fem.du.indef.gen.],MSA,form_gen:f form_num:d stt:i cas:g,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
237,300.2214,,MORPH,[NSuff.XXIU],NSuff.FDIU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],MSA,form_gen:f form_num:d stt:i cas:u,_,,FD UCase,Base UCase,كتابتين,OK,GOOD,0,
238,300.2221,,MORPH,[NSuff.XXDN],NSuff.FDDN,atAni,atAni/NSUFF_FEM_DU_NOM,two_[fem.du.def.nom.],MSA,form_gen:f form_num:d stt:d cas:n,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
239,300.2222,,MORPH,[NSuff.XXDA],NSuff.FDDA,atayoni,atayoni/NSUFF_FEM_DU_ACC,two_[fem.du.def.acc.],MSA,form_gen:f form_num:d stt:d cas:a,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
240,300.2223,,MORPH,[NSuff.XXDG],NSuff.FDDG,atayoni,atayoni/NSUFF_FEM_DU_GEN,two_[fem.du.def.gen.],MSA,form_gen:f form_num:d stt:d cas:g,_,,FD,Base Triptote-Sound,,OK,GOOD,0,
241,300.2224,,MORPH,[NSuff.XXDU],NSuff.FDDU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],MSA,form_gen:f form_num:d stt:d cas:u,_,,FD UCase,Base UCase,كتابتين,OK,GOOD,0,
242,300.2231,,MORPH,[NSuff.XXCN],NSuff.FDCN,atA,atA/NSUFF_FEM_DU_NOM_POSS,two_[fem.du.const.nom.],MSA,form_gen:f form_num:d stt:c cas:n,_,,FD #^A,Base Triptote-Sound,,OK,GOOD,0,
243,300.2232,,MORPH,[NSuff.XXCA],NSuff.FDCA,atayo,atayo/NSUFF_FEM_DU_ACC_POSS,two_[fem.du.const.acc.],MSA,form_gen:f form_num:d stt:c cas:a,!POSS_PRON-iy,,FD #^ay,Base Triptote-Sound,,OK,GOOD,0,
244,300.2232,,MORPH,[NSuff.XXCA],NSuff.FDCA,atay,atayo/NSUFF_FEM_DU_ACC_POSS,two_[fem.du.const.acc.],MSA,form_gen:f form_num:d stt:c cas:a,POSS_PRON-iy,,FD #^ay,Base Triptote-Sound,,OK,GOOD,0,
245,300.2233,,MORPH,[NSuff.XXCG],NSuff.FDCG,atayo,atayo/NSUFF_FEM_DU_GEN_POSS,two_[fem.du.const.gen.],MSA,form_gen:f form_num:d stt:c cas:g,!POSS_PRON-iy,,FD #^ay,Base Triptote-Sound,,OK,GOOD,0,
246,300.2233,,MORPH,[NSuff.XXCG],NSuff.FDCG,atay,atayo/NSUFF_FEM_DU_GEN_POSS,two_[fem.du.const.gen.],MSA,form_gen:f form_num:d stt:c cas:g,POSS_PRON-iy,,FD #^ay,Base Triptote-Sound,,OK,GOOD,0,
247,300.2234,,MORPH,[NSuff.XXCU],NSuff.FDCU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],MSA,form_gen:f form_num:d stt:c cas:u,_,,FD UCase,Base UCase,كتابتين,OK,GOOD,0,
248,300.2311,,MORPH,[NSuff.XXIN],NSuff.FPIN,At+N,At/NSUFF_FEM_PL+N/CASE_INDEF_NOM,[fem.pl.]_+_[indef.nom.],MSA,form_gen:f form_num:p stt:i cas:n,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
249,300.23111,,MORPH,[NSuff.XXIN],NSuff.FPIN,|t+N,|t/NSUFF_FEM_PL+N/CASE_INDEF_NOM,[fem.pl.]_+_[indef.nom.],MSA,form_gen:f form_num:p stt:i cas:n,#a>,,FP A-suff,#a>,مكافآت,OK,GOOD,1,
250,300.2312,,MORPH,[NSuff.XXIA],NSuff.FPIA,At+K,At/NSUFF_FEM_PL+K/CASE_INDEF_ACC,[fem.pl.]_+_[indef.acc.],MSA,form_gen:f form_num:p stt:i cas:a,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
251,300.23121,,MORPH,[NSuff.XXIA],NSuff.FPIA,|t+K,|t/NSUFF_FEM_PL+K/CASE_INDEF_ACC,[fem.pl.]_+_[indef.acc.],MSA,form_gen:f form_num:p stt:i cas:a,#a>,,FP A-suff,#a>,مكافآت,OK,GOOD,1,
252,300.2313,,MORPH,[NSuff.XXIG],NSuff.FPIG,At+K,At/NSUFF_FEM_PL+K/CASE_INDEF_GEN,[fem.pl.]_+_[indef.gen.],MSA,form_gen:f form_num:p stt:i cas:g,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
253,300.23131,,MORPH,[NSuff.XXIG],NSuff.FPIG,|t+K,|t/NSUFF_FEM_PL+K/CASE_INDEF_GEN,[fem.pl.]_+_[indef.gen.],MSA,form_gen:f form_num:p stt:i cas:g,#a>,,FP A-suff,#a>,مكافآت,OK,GOOD,1,
254,300.2314,,MORPH,[NSuff.XXIU],NSuff.FPIU,At,At/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:i cas:u,else,,FP UCase,Base UCase,موظفات,OK,GOOD,0,
255,300.23141,,MORPH,[NSuff.XXIU],NSuff.FPIU,|t,|t/NSUFF_FEM_PL,[fem.pl.],MSA,form_gen:f form_num:p stt:i cas:u,#a>,,FP A-suff UCase,#a> UCase ,مكافآت,OK,GOOD,1,
256,300.2321,,MORPH,[NSuff.XXDN],NSuff.FPDN,At+u,At/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[def.nom.],MSA,form_gen:f form_num:p stt:d cas:n,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
257,300.23211,,MORPH,[NSuff.XXDN],NSuff.FPDN,|t+u,|t/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[def.nom.],MSA,form_gen:f form_num:p stt:d cas:n,#a>,,FP A-suff,#a>,المكافآت,OK,GOOD,1,
258,300.2322,,MORPH,[NSuff.XXDA],NSuff.FPDA,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[def.acc.],MSA,form_gen:f form_num:p stt:d cas:a,else,,FP,Base Triptote-Sound,,OK,GOOD,0,
