,ID,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE-ENC,EXAMPLE-SUFF,EXAMPLE-BUFF,EXAMPLE-STEM,COMMENTS
188,179,,MORPH,[IVSuff.I.2FS],IVSuff.2FS,ayna,ayna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,#-aY||#-aA||#->ay,y-suff,ayna,,,,ترين,
189,180,,MORPH,[IVSuff.I.2MP],IVSuff.2MP,uwna,uwna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,else,v-suff w-suff,uwna,,,,تكتبون,
190,181,,MORPH,[IVSuff.I.2MP],IVSuff.2MP,awna,awna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,#-aY||#-aA||#->ay,w-suff,awna,,,,ترون,
191,182,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,u,u/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,else,v-suff u-suff z-suff,u,,,,تكتب,
192,183,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,,,,ترا، ترى,
193,184,,MORPH,[IVSuff.I.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS_MOOD:I,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,,,,ترمي,
194,185,,MORPH,[IVSuff.I.3FD],IVSuff.3FD,Ani,Ani/IVSUFF_SUBJ:3FD_MOOD:I,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:i,else,v-suff A-suff #^i,Ani,,,,تكتبان,
195,186,,MORPH,[IVSuff.I.3FD],IVSuff.3FD,ni,ni/IVSUFF_SUBJ:3FD_MOOD:I,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:i,#-a>,v-suff A-suff #^i,ni,,,,تقرآن,
196,187,,MORPH,[IVSuff.I.3FP],IVSuff.3FP,na,na/IVSUFF_SUBJ:3FP_MOOD:I,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:i,else,c-suff,na,,,,يكتبن,
197,188,,MORPH,[IVSuff.I.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:3FP_MOOD:I,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:i,#n,c-suff,~a,,,,يسكنّ,
198,189,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,u,u/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,else,v-suff u-suff z-suff,u,,,,تكتب,
199,190,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,,,,ترا، ترى,
200,191,,MORPH,[IVSuff.I.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS_MOOD:I,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,,,,ترمي,
201,192,,MORPH,[IVSuff.I.3MD],IVSuff.3MD,Ani,Ani/IVSUFF_SUBJ:3MD_MOOD:I,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:i,else,v-suff A-suff #^i,Ani,,,,يكتبان,
202,193,,MORPH,[IVSuff.I.3MD],IVSuff.3MD,ni,ni/IVSUFF_SUBJ:3MD_MOOD:I,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:i,#-a>,v-suff A-suff #^i,ni,,,,تقرآن,
203,194,,MORPH,[IVSuff.I.3MP],IVSuff.3MP,uwna,uwna/IVSUFF_SUBJ:3MP_MOOD:I,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:i,else,v-suff w-suff,uwna,,,,يكتبون,
204,195,,MORPH,[IVSuff.I.3MP],IVSuff.3MP,awna,awna/IVSUFF_SUBJ:3MP_MOOD:I,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:i,#-aY||#-aA||#->ay,w-suff,awna,,,,يرون,
205,196,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,u,u/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,else,v-suff u-suff z-suff,u,,,,يكتب,
206,197,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,,,,يرا، يرى,
207,198,,MORPH,[IVSuff.I.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS_MOOD:I,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,,,,يرمي,
208,Imperfective Verb Suffixes - Jussive Mood,,,,,,,,,,,,,,,,,
209,199,,MORPH,[IVSuff.J.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,#-aY||#-uw||#-aA||#->ay,c-suff z-suff,_,,,,نر,
210,200,,MORPH,[IVSuff.J.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,#-iy||#-}iy,c-suff z-suff #^i,_,,,,نرمِ,
211,201,,MORPH,[IVSuff.J.1P],IVSuff.1P,a,a/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,else gem,v-suff,a,,,,لم نمدَّ,
212,202,,MORPH,[IVSuff.J.1P],IVSuff.1P,o,o/IVSUFF_SUBJ:1P_MOOD:J,MSA,[pl.],asp:i per:1 gen:u num:p mod:j,else else,c-suff,o,,,,نكتبْ,
213,203,,MORPH,[IVSuff.J.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,#-aY||#-uw||#-aA||#->ay,c-suff z-suff,_,,,,أر,
214,204,,MORPH,[IVSuff.J.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,#-iy||#-}iy,c-suff z-suff #^i,_,,,,أرمِ,
215,205,,MORPH,[IVSuff.J.1S],IVSuff.1S,a,a/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,else gem,v-suff,a,,,,لم أمدَّ,
216,206,,MORPH,[IVSuff.J.1S],IVSuff.1S,o,o/IVSUFF_SUBJ:1S_MOOD:J,MSA,[sg.],asp:i per:1 gen:u num:s mod:j,else else,c-suff,o,,,,أكتبْ,
217,207,,MORPH,[IVSuff.J.2D],IVSuff.2D,_,(null)/IVSUFF_SUBJ:2D_MOOD:J,MSA,[du.],asp:i per:2 gen:u num:d mod:j,#-a>,v-suff A-suff,_,,,,تقرآ,
218,208,,MORPH,[IVSuff.J.2D],IVSuff.2D,A,A/IVSUFF_SUBJ:2D_MOOD:J,MSA,[du.],asp:i per:2 gen:u num:d mod:j,else,v-suff A-suff,A,,,,تكتبا,
219,209,,MORPH,[IVSuff.J.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:2FP_MOOD:J,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:j,#n,c-suff,~a,,,,تسكنّ,
220,210,,MORPH,[IVSuff.J.2FP],IVSuff.2FP,na,na/IVSUFF_SUBJ:2FP_MOOD:J,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:j,else,c-suff,na,,,,تكتبن,
221,211,,MORPH,[IVSuff.J.2FS],IVSuff.2FS,ay,ay/IVSUFF_SUBJ:2FS_MOOD:J,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:j,#-aY||#-aA||#->ay,y-suff #^iy,ay,,,,تري,
222,212,,MORPH,[IVSuff.J.2FS],IVSuff.2FS,iy,iy/IVSUFF_SUBJ:2FS_MOOD:J,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:j,else,v-suff y-suff #^iy,iy,,,,تكتبي,
223,213,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,aw,aw/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,#-aY||#-aA||#->ay enc0,w-suff,awA,,,,تروها,
224,214,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,awA,awA/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,#-aY||#-aA||#->ay else,w-suff,awA,,,,تروا,
225,215,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,uw,uw/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,else enc0,v-suff w-suff,uwA,,,,تكتبوه,
226,216,,MORPH,[IVSuff.J.2MP],IVSuff.2MP,uwA,uwA/IVSUFF_SUBJ:2MP_MOOD:J,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:j,else else,v-suff w-suff,uwA,,,,تكتبوا,
227,217,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,#-aY||#-uw||#-aA||#->ay else,c-suff z-suff,_,,,,تر,
228,218,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,#-iy||#-}iy else,c-suff z-suff #^i,_,,,,ترمِ,
229,219,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,a,a/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,else gem,v-suff,a,,,,لم تمدَّ,
230,220,,MORPH,[IVSuff.J.2MS],IVSuff.2MS,o,o/IVSUFF_SUBJ:2MS_MOOD:J,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:j,else else,c-suff,o,,,,تكتبْ,
231,221,,MORPH,[IVSuff.J.3FD],IVSuff.3FD,_,(null)/IVSUFF_SUBJ:3FD_MOOD:J,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:j,#-a>,v-suff A-suff,_,,,,تقرآ,
232,222,,MORPH,[IVSuff.J.3FD],IVSuff.3FD,aA,aA/IVSUFF_SUBJ:3FD_MOOD:J,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:j,#-uw,v-suff A-suff,A,,,,تكتبا,
233,223,,MORPH,[IVSuff.J.3FD],IVSuff.3FD,A,A/IVSUFF_SUBJ:3FD_MOOD:J,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:j,else,v-suff A-suff,A,,,,تكتبا,
234,224,,MORPH,[IVSuff.J.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:3FP_MOOD:J,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:j,#n,c-suff,~a,,,,يسكنّ,
235,225,,MORPH,[IVSuff.J.3FP],IVSuff.3FP,na,na/IVSUFF_SUBJ:3FP_MOOD:J,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:j,else,c-suff,na,,,,يكتبن,
236,226,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,#-aY||#-uw||#-aA||#->ay else,c-suff z-suff,_,,,,تر,
237,227,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,#-iy||#-}iy else,c-suff z-suff #^i,_,,,,ترمِ,
238,228,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,a,a/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,else gem,v-suff,a,,,,لم تمدَّ,
239,229,,MORPH,[IVSuff.J.3FS],IVSuff.3FS,o,o/IVSUFF_SUBJ:3FS_MOOD:J,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:j,else else,c-suff,o,,,,تكتبْ,
240,230,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,_,(null)/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:2 gen:m num:d mod:j,#-a>,v-suff A-suff,_,,,,تقرآ,
241,231,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,aA,aA/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:j,#-uw,v-suff A-suff,A,,,,يكتبا,
242,232,,MORPH,[IVSuff.J.3MD],IVSuff.3MD,A,A/IVSUFF_SUBJ:3MD_MOOD:J,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:j,else,v-suff A-suff,A,,,,يكتبا,
243,233,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,aw,awA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,#-aY||#-aA||#->ay enc0,w-suff,awA,,,,يروها,
244,234,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,awA,awA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,#-aY||#-aA||#->ay else,w-suff,awA,,,,يروا,
245,235,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,uw,uwA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,else enc0,v-suff w-suff,uwA,,,,يكتبوه,
246,236,,MORPH,[IVSuff.J.3MP],IVSuff.3MP,uwA,uwA/IVSUFF_SUBJ:3MP_MOOD:J,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:j,else else,v-suff w-suff,uwA,,,,يكتبوا,
247,237,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,#-aY||#-uw||#-aA||#->ay else,c-suff z-suff,_,,,,ير ,
248,238,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,#-iy||#-}iy else,c-suff z-suff #^i,_,,,,يرمِ,
249,239,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,o,o/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,else else,c-suff,o,,,,يكتبْ,
250,240,,MORPH,[IVSuff.J.3MS],IVSuff.3MS,a,a/IVSUFF_SUBJ:3MS_MOOD:J,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:j,else gem,v-suff,a,,,,لم يمدَّ,
251,Imperfective Verb Suffixes - Subjunctive Mood,,,,,,,,,,,,,,,,,
252,241,,MORPH,[IVSuff.S.1P],IVSuff.1P,a,a/IVSUFF_SUBJ:1P_MOOD:S,MSA,[pl.],asp:i per:1 gen:u num:p mod:s,else,v-suff a-suff z-suff,a,,,,نكتب,
253,242,,MORPH,[IVSuff.S.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:S,MSA,[pl.],asp:i per:1 gen:u num:p mod:s,#-aY||#-aA||#->ay,v-suff a-suff z-suff,_,,,,نرا,
254,243,,MORPH,[IVSuff.S.1S],IVSuff.1S,a,a/IVSUFF_SUBJ:1S_MOOD:S,MSA,[sg.],asp:i per:1 gen:u num:s mod:s,else,v-suff a-suff z-suff,a,,,,أكتب,
255,244,,MORPH,[IVSuff.S.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:S,MSA,[sg.],asp:i per:1 gen:u num:s mod:s,#-aY||#-aA||#->ay,v-suff a-suff z-suff,_,,,,أراه، أرى,
256,245,,MORPH,[IVSuff.S.2D],IVSuff.2D,A,A/IVSUFF_SUBJ:2D_MOOD:S,MSA,[du.],asp:i per:2 gen:u num:d mod:s,else,v-suff A-suff,A,,,,تكتبا,
257,246,,MORPH,[IVSuff.S.2D],IVSuff.2D,_,(null)/IVSUFF_SUBJ:2D_MOOD:S,MSA,[du.],asp:i per:2 gen:u num:d mod:s,#-a>,v-suff A-suff,_,,,,تقرآ,
258,247,,MORPH,[IVSuff.S.2FP],IVSuff.2FP,na,na/IVSUFF_SUBJ:2FP_MOOD:S,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:s,else,c-suff,na,,,,تكتبن,
259,248,,MORPH,[IVSuff.S.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:2FP_MOOD:S,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:s,#n,c-suff,~a,,,,تسكنّ,
260,249,,MORPH,[IVSuff.S.2FS],IVSuff.2FS,iy,iy/IVSUFF_SUBJ:2FS_MOOD:S,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:s,else,v-suff y-suff #^iy,iy,,,,تكتبي,
261,250,,MORPH,[IVSuff.S.2FS],IVSuff.2FS,ay,ay/IVSUFF_SUBJ:2FS_MOOD:S,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:s,#-aY||#-aA||#->ay,y-suff #^iy,ay,,,,تري,
262,251,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,uwA,uwA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,else else,v-suff w-suff,uwA,,,,تكتبوا,
263,252,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,uw,uwA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,else enc0,v-suff w-suff,uwA,,,,تكتبوه,
264,253,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,aw,awA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,#-aY||#-aA||#->ay enc0,w-suff,awA,,,,تروه,
265,254,,MORPH,[IVSuff.S.2MP],IVSuff.2MP,awA,awA/IVSUFF_SUBJ:2MP_MOOD:S,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:s,#-aY||#-aA||#->ay else,w-suff,awA,,,,تروا,
266,255,,MORPH,[IVSuff.S.2MS],IVSuff.2MS,a,a/IVSUFF_SUBJ:2MS_MOOD:S,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:s,else,v-suff a-suff z-suff,a,,,,تكتب,
267,256,,MORPH,[IVSuff.S.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS_MOOD:S,MSA,[masc.sg.],asp:i per:2 gen:m num:s mod:s,#-aY||#-aA||#->ay,v-suff a-suff z-suff,_,,,,ترا,
268,257,,MORPH,[IVSuff.S.3FD],IVSuff.3FD,A,A/IVSUFF_SUBJ:3FD_MOOD:S,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:s,else,v-suff A-suff,A,,,,تكتبا,
269,258,,MORPH,[IVSuff.S.3FD],IVSuff.3FD,_,(null)/IVSUFF_SUBJ:3FD_MOOD:S,MSA,[fem.du.],asp:i per:3 gen:f num:d mod:s,#-a>,v-suff A-suff,_,,,,تقرآ,
270,259,,MORPH,[IVSuff.S.3FP],IVSuff.3FP,na,na/IVSUFF_SUBJ:3FP_MOOD:S,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:s,else,c-suff,na,,,,يكتبن,
271,260,,MORPH,[IVSuff.S.3FP],IVSuff.3FP,~a,~a/IVSUFF_SUBJ:3FP_MOOD:S,MSA,[fem.pl.],asp:i per:3 gen:f num:p mod:s,#n,c-suff,~a,,,,يسكنّ,
272,261,,MORPH,[IVSuff.S.3FS],IVSuff.3FS,a,a/IVSUFF_SUBJ:3FS_MOOD:S,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:s,else,v-suff a-suff z-suff,a,,,,تكتب,
273,262,,MORPH,[IVSuff.S.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS_MOOD:S,MSA,[fem.sg.],asp:i per:3 gen:f num:s mod:s,#-aY||#-aA||#->ay,v-suff a-suff z-suff,_,,,,ترى,
274,263,,MORPH,[IVSuff.S.3MD],IVSuff.3MD,A,A/IVSUFF_SUBJ:3MD_MOOD:S,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:s,else,v-suff A-suff,A,,,,يكتبا,
275,264,,MORPH,[IVSuff.S.3MD],IVSuff.3MD,_,(null)/IVSUFF_SUBJ:3MD_MOOD:S,MSA,[masc.du.],asp:i per:3 gen:m num:d mod:s,#-a>,v-suff A-suff,_,,,,تقرآ,
276,265,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,uwA,uwA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,else else,v-suff w-suff,uwA,,,,يكتبوا,
277,266,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,uw,uwA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,else enc0,v-suff w-suff,uwA,,,,يكتبوه,
278,267,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,aw,awA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,#-aY||#-aA||#->ay enc0                                                                                                                ,w-suff,awA,,,,يروه,
279,268,,MORPH,[IVSuff.S.3MP],IVSuff.3MP,awA,awA/IVSUFF_SUBJ:3MP_MOOD:S,MSA,[masc.pl.],asp:i per:3 gen:m num:p mod:s,#-aY||#-aA||#->ay else,w-suff,awA,,,,يروا,
280,269,,MORPH,[IVSuff.S.3MS],IVSuff.3MS,a,a/IVSUFF_SUBJ:3MS_MOOD:S,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:s,else,v-suff a-suff z-suff,a,,,,يكتب,
281,270,,MORPH,[IVSuff.S.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS_MOOD:S,MSA,[masc.sg.],asp:i per:3 gen:m num:s mod:s,#-aY||#-aA||#->ay,v-suff a-suff z-suff,_,,,,يرا,
282,Imperfective Verb Suffixes - Energetic Mood,,,,,,,,,,,,,,,,,
283,271,,MORPH,[IVSuff.E.1P],IVSuff.1P,ano,ano/IVSUFF_SUBJ:1P_MOOD:E,MSA||CA,[pl.],asp:i per:1 gen:u num:p mod:e,_,v-suff,ano,,,,نكتبَنْ نريَنْ,L
284,272,,MORPH,[IVSuff.E.1S],IVSuff.1S,ano,ano/IVSUFF_SUBJ:1S_MOOD:E,MSA||CA,[sg.],asp:i per:1 gen:u num:s mod:e,_,v-suff,ano,,,,أكتبَن أرين,L
285,273,,MORPH,[IVSuff.E.2D],IVSuff.2D,An~i,An~i/IVSUFF_SUBJ:2D_MOOD:E,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:e,else,v-suff A-suff #^i,An~i,,,,تكتبانِّ,HL
286,274,,MORPH,[IVSuff.E.2D],IVSuff.2D,n~i,n~i/IVSUFF_SUBJ:2D_MOOD:E,MSA||CA,[du.],asp:i per:2 gen:u num:d mod:e,#-a>,v-suff A-suff #^i,n~i,,,,تقرآنِّ,HL
287,275,,MORPH,[IVSuff.E.2FP],IVSuff.2FP,nAn~i,nAn~i/IVSUFF_SUBJ:2FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:e,else,c-suff #^i,nAn~i,,,,تكتبنان,HL
288,276,,MORPH,[IVSuff.E.2FP],IVSuff.2FP,~An~i,~An~i/IVSUFF_SUBJ:2FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:2 gen:f num:p mod:e,#n,c-suff #^i,~An~i,,,,تسكنّان,HL
289,277,,MORPH,[IVSuff.E.2FS],IVSuff.2FS,ino,ino/IVSUFF_SUBJ:2FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:e,else,v-suff y-suff,ino,,,,تكتبِنَّ,L
290,278,,MORPH,[IVSuff.E.2FS],IVSuff.2FS,ayino,ayino/IVSUFF_SUBJ:2FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:2 gen:f num:s mod:e,#-aY||#-aA||#->ay,y-suff,ayino,,,,تريِنَّ,L
291,279,,MORPH,[IVSuff.E.2MP],IVSuff.2MP,uno,uno/IVSUFF_SUBJ:2MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:e,else,v-suff w-suff,uno,,,,تكتبُنْ,L
292,280,,MORPH,[IVSuff.E.2MP],IVSuff.2MP,awuno,awuno/IVSUFF_SUBJ:2MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:2 gen:m num:p mod:e,#-aY||#-aA||#->ay,w-suff,awuno,,,,تروُنْ,L
293,281,,MORPH,[IVSuff.E.2MS],IVSuff.2MS,ano,ano/IVSUFF_SUBJ:2MS_MOOD:E,MSA||CA,[masc.sg.],asp:i per:2 gen:m num:s mod:e,_,v-suff,ano,,,,تكتبَنْ تريَنْ,L
294,282,,MORPH,[IVSuff.E.3FD],IVSuff.3FD,An~i,An~i/IVSUFF_SUBJ:3FD_MOOD:E,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:e,else,v-suff A-suff #^i,An~i,,,,تكتبانِّ,HL
295,283,,MORPH,[IVSuff.E.3FD],IVSuff.3FD,n~i,n~i/IVSUFF_SUBJ:3FD_MOOD:E,MSA||CA,[fem.du.],asp:i per:3 gen:f num:d mod:e,#-a>,v-suff A-suff #^i,n~i,,,,تقرآنِّ,HL
296,284,,MORPH,[IVSuff.E.3FP],IVSuff.3FP,nAn~i,nAn~i/IVSUFF_SUBJ:3FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:e,else,c-suff #^i,nAn~i,,,,يكتبنان,HL
297,285,,MORPH,[IVSuff.E.3FP],IVSuff.3FP,~An~i,~An~i/IVSUFF_SUBJ:3FP_MOOD:E,MSA||CA,[fem.pl.],asp:i per:3 gen:f num:p mod:e,#n,c-suff #^i,~An~i,,,,يسكنّان,HL
298,286,,MORPH,[IVSuff.E.3FS],IVSuff.3FS,ano,ano/IVSUFF_SUBJ:3FS_MOOD:E,MSA||CA,[fem.sg.],asp:i per:3 gen:f num:s mod:e,_,v-suff,ano,,,,تكتبَنْ تريَنْ,L
299,287,,MORPH,[IVSuff.E.3MD],IVSuff.3MD,An~i,An~i/IVSUFF_SUBJ:3MD_MOOD:E,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:e,else,v-suff A-suff #^i,An~i,,,,يكتبانِّ,HL
300,288,,MORPH,[IVSuff.E.3MD],IVSuff.3MD,n~i,n~i/IVSUFF_SUBJ:3MD_MOOD:E,MSA||CA,[masc.du.],asp:i per:3 gen:m num:d mod:e,#-a>,v-suff A-suff #^i,n~i,,,,يقرآنِّ,HL
301,289,,MORPH,[IVSuff.E.3MP],IVSuff.3MP,uno,uno/IVSUFF_SUBJ:3MP_MOOD:E,MSA||CA,[masc.pl.],asp:i per:3 gen:m num:p mod:e,else,v-suff w-suff,uno,,,,يكتبُنْ,L
