,NUM_ID,ID,STEM_MASK,LEMMA,FORM,POS,COND-T,GEN,NUM,SIGNATURE,QC,COMMENTS,NOUN,ADJ,ADJ_COMP
96,97,,stem:0-1,مَغْرِبِيّ,[مَغْرِبِيّ]-[مَغارِب],noun,[MS||MD||MP||FS||FD||FP]-[FS],[-]-[m],[-]-[p],[MS||MD||MP||FS||FD||FP]-[FS] [-]-[m] [-]-[p] stem:0-1,OK+,,110,110,0
97,98,,stem:0-1-2,تُرْكِيّ,[تُرْكِيّ]-[أَتْراك]-[تُرْك],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,57,195,0
98,99,,stem:0-1-2-3,سُوفْيِتِيّ,[سُوفْيِتِيّ]-[سُوفْيِت]-[سُوفْيِيت]-[سُوفْيات],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,4,56,0
99,100,,stem:0-1-2-3-4,قِسِّيس,[قِسِّيس]-[قُسّا]-[قُسّان]-[قَساوِس]-[أَقِسّ],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,5,0,0
100,101,,stem:0-1-2-2,راعِي,[راعِي]-[رُعا]-[رُعْيان]-[رُعا],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-2,OK+,,4,0,0
101,102,,stem:0-1-2,ْإِغْرِيقِيّ,[ْإِغْرِيقِيّ]-[إِغْرِيق]-[أَغارِق],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,45,54,0
102,103,,stem:0-1-2,صَعِيدِيّ,[ْصَعِيدِيّ]-[صَعايِد]-[صَعائِد],noun,[MS||MD||MP||FS||FD||FP]-[FS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[FS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,3,3,0
103,104,,stem:0-1-1,جَبّار,[ْجَبّار]-[جَبابِر]-[جَبابِر],noun,[MS||MD||MP||FS||FD||FP]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,3,0,0
104,105,,stem:0-0,يَسَقْجِيّ,[يَسَقْجِيّ]-[يَسَقْجِيّ],noun,[MS||MD||MP||FS||FD||FP]-[FS],[-]-[m],[-]-[p],[MS||MD||MP||FS||FD||FP]-[FS] [-]-[m] [-]-[p] stem:0-0,OK+,,22,2,0
105,106,,stem:0-1,نائِب,[نائِب]-[نُوّاب],noun,[MS||MD||MP||FS||FD||FP]-[MS],[-]-[m],[-]-[p],[MS||MD||MP||FS||FD||FP]-[MS] [-]-[m] [-]-[p] stem:0-1,OK+,,378,586,2
106,107,,stem:0-0,يَسَقْجِيّ,[يَسَقْجِيّ]-[يَسَقْجِيّ],noun,[MS||MD||MP||FS||FD||FP]-[MS],[-]-[m],[-]-[p],[MS||MD||MP||FS||FD||FP]-[MS] [-]-[m] [-]-[p] stem:0-0,OK+,,2,0,0
107,108,,stem:0-1-2-1,طَقم,[طَقم]-[طُقُوم]-[طُقُوم]-[أَطْقُم],noun,[MS||MD]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-1,OK-DUPLICATE,,16,0,0
108,109,,stem:0,قُبالَة,[قُبال],noun,[FS],[-],[-],[FS] [-] [-] stem:0,OK~,,1,0,0
109,110,,stem:0-1-2,سَنَة,[سَنَة]-[سِنِين]-[سَنَو],noun,[FS||FD]-[MP]-[FP],[-]-[f]-[f],[-]-[-]-[p],[FS||FD]-[MP]-[FP] [-]-[f]-[f] [-]-[-]-[p] stem:0-1-2,OK~,,3,0,0
110,111,,stem:0-0,أضْحاة,[أَضْح]-[أَضْح],noun,[FS||FD]-[MS],[-]-[f],[-]-[p],[FS||FD]-[MS] [-]-[f] [-]-[p] stem:0-0,OK~,,2,0,0
111,112,,stem:0-0-1,داعِيَة,[داعِي]-[داعِي]-[دُعا],noun,[FS||FD||FP]-[FS||FD]-[FS],[-]-[m]-[f],[-]-[-]-[p],[FS||FD||FP]-[FS||FD]-[FS] [-]-[m]-[f] [-]-[-]-[p] stem:0-0-1,OK~,,3,0,0
112,113,,stem:0-1-2,ضِمادَة,[ضِماد]-[أَضْمِد]-[ضَمائِد],noun,[FS||FD||FP]-[MS]-[FS],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[MS]-[FS] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK~,,3,0,0
113,114,,stem:0-1-2-3,لَهاة,[لَه]-[لِها]-[لُهيِّ]-[لَهَي],noun,[FS||FD||FP]-[MS]-[MS]-[FP],[-]-[f]-[f]-[f],[-]-[p]-[p]-[p],[FS||FD||FP]-[MS]-[MS]-[FP] [-]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK~,,4,0,0
114,115,,stem:0,اِثْن,[اِثْن],noun,[MD],[-],[s],[MD] [-] [s] stem:0,OK~,,1,0,0
115,116,,stem:0-1,باشا,[باش]-[باشَو],noun,[MS]-[MD||FP],[m]-[m],[-]-[-],[MS]-[MD||FP] [m]-[m] [-]-[-] stem:0-1,OK~,,2,0,0
116,117,,stem:0-1,أحَد,[أحَد]-[إحْد],noun,[MS]-[MS],[-]-[f],[-]-[-],[MS]-[MS] [-]-[f] [-]-[-] stem:0-1,OK~,,2,0,0
117,118,,stem:0,أُسْطا,[أُسْط],noun,[MS||FD||FP],[m],[-],[MS||FD||FP] [m] [-] stem:0,OK~,,3,0,0
118,119,,stem:0-1-2,اِبْن,[ابْن]-[بَن]-[أَبْنا],noun,[MS||MD||FS||FD]-[MS]-[MP],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD]-[MS]-[MP] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK~,,3,0,0
119,120,,stem:0-0,كُرَى,[كُر]-[كُر],noun,[MS||MD]-[MS],[f]-[f],[-]-[p],[MS||MD]-[MS] [f]-[f] [-]-[p] stem:0-0,OK~,,2,0,0
120,121,,stem:0-1-1,كِسْرَى,[كِسْر]-[أَكاسِر]-[أَكاسِر],noun,[MS||MD]-[MS]-[FS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-1,OK~,,3,0,0
121,122,BP34,stem:0-1-2,خِوان,[خِوان]-[أَخْوِن]-[أَخاوين],noun,[MS||MD]-[MS]-[FS],[-]-[f]-[f],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK~,,3,0,0
122,123,,stem:0-1-2,أَخ,[أَخ]-[إخْوان]-[إخْو],noun,[MS||MD]-[MS]-[FS],[m]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [m]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK~,,3,0,0
123,124,,stem:0-1-2-1,سِرْوال,[سِرْوال]-[سِرْويِل]-[سَراويِل]-[سَراويِل],noun,[MS||MD]-[MS]-[MS]-[FP],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[FP] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-1,OK~,,4,0,0
124,125,,stem:0-1-2-3,فَم,[فَم]-[فَمَو]-[أَفْواه]-[أَفْمام],noun,[MS||MD]-[MS]-[MS]-[MD],[-]-[m]-[m]-[-],[-]-[p]-[p]-[-],[MS||MD]-[MS]-[MS]-[MD] [-]-[m]-[m]-[-] [-]-[p]-[p]-[-] stem:0-1-2-3,OK~,,4,0,0
125,126,,stem:0-1-1,صَحْراء,[صَحَار]-[صَحَار]-[صَحْرا],noun,[MS||MD||FP]-[MS]-[MS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD||FP]-[MS]-[MS] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-1,OK~,,3,0,0
126,127,,stem:0,واحِد,[واحِد],noun,[MS||MD||FS||FD],[-],[-],[MS||MD||FS||FD] [-] [-] stem:0,OK~,,1,1,0
127,128,,stem:0-1-2-3,قَريِب,[قَريِب]-[أَقارِب]-[أَقرِبا]-[أَقْرَب],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[MP],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[MP] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK~,,4,0,0
128,129,,stem:0-1-1,أَيْمَن,[أَيْمَن]-[يُمْن]-[يُمْن],adj,[MS||MD]-[MS]-[MS||MD||FP],[-]-[m]-[f],[-]-[p]-[-],[MS||MD]-[MS]-[MS||MD||FP] [-]-[m]-[f] [-]-[p]-[-] stem:0-1-1,OK~,,0,9,0
129,130,,stem:0-1-2-3-4,حَبِيب,[حَبِيب]-[حَبائِب]-[أَحِبّا]-[أَحْباب]-[أَحِبّ],adj,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK~,,0,15,0
130,131,,stem:0-1,سَمِيح,[سَمِيح]-[سَمْحا],adj,[MS||MD||MP||FS||FD||FP]-[MS||MD||FP],[-]-[f],[-]-[-],[MS||MD||MP||FS||FD||FP]-[MS||MD||FP] [-]-[f] [-]-[-] stem:0-1,OK~,,0,14,0
131,132,,stem:0-1-2-3-4-5,ضَعِيف,[ضَعِيف]-[ضَعْفان]-[ضِعاف]-[ضُعَفا]-[ضَعائِف]-[ضَعَف],adj,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p]-[p] stem:0-1-2-3-4-5,OK~,,0,6,0
132,133,,stem:0-1-2-3,فاجِر,[فاجِر]-[فَواجِر]-[فُجَّار]-[فَجَر],adj,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK~,,0,8,0
133,134,,stem:0-1-2,أَبْعَد,[أَبْعَد]-[بُعْد]-[أَبَاعِد],adj_comp,[MS||MD||MP]-[MS||MD||FP]-[MS],[-]-[f]-[m],[-]-[-]-[p],[MS||MD||MP]-[MS||MD||FP]-[MS] [-]-[f]-[m] [-]-[-]-[p] stem:0-1-2,OK~,,0,0,12
134,135,,stem:0-1-2-3,أَدْنى,[أَدان]-[أَدْن]-[دُنْي]-[دُن],adj_comp,[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS],[-]-[f]-[m]-[f],[-]-[-]-[p]-[p],[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[f] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,0,0,4
135,136,,stem:0-1,أَقْدَم,[أَقْدَم]-[قُدْم],adj_comp,[MS||MD||MP]-[MS||MD||FP],[-]-[f],[-]-[-],[MS||MD||MP]-[MS||MD||FP] [-]-[f] [-]-[-] stem:0-1,OK~,,0,0,6
136,137,,stem:0-1,أَكْرَم,[أَكْرَم]-[أَكارِم],adj_comp,[MS||MD||MP]-[MS],[-]-[m],[-]-[p],[MS||MD||MP]-[MS] [-]-[m] [-]-[p] stem:0-1,OK~,,0,0,2
137,138,,stem:0-1,أَوْفَى,[أَوْف]-[وُفْي],adj_comp,[MS||MD]-[MS||MD||FP],[m]-[f],[-]-[-],[MS||MD]-[MS||MD||FP] [m]-[f] [-]-[-] stem:0-1,OK~,,0,0,2
138,139,,stem:0-1-2-3,أَصْلَع,[أَصْلَع]-[صَلْعَا]-[صُلْع]-[صَلْعَان],adj,[MS||MD]-[MS]-[MS||MD||FP]-[MS],[-]-[m]-[f]-[m],[-]-[p]-[-]-[p],[MS||MD]-[MS]-[MS||MD||FP]-[MS] [-]-[m]-[f]-[m] [-]-[p]-[-]-[p] stem:0-1-2-3,OK~,,0,36,0
139,140,,stem:0-1,أَعْجَل,[أَعْجَل]-[عُجْل],adj,[MS||MD]-[MS||MD||FP],[-]-[f],[-]-[-],[MS||MD]-[MS||MD||FP] [-]-[f] [-]-[-] stem:0-1,OK~,,0,2,2
140,141,,stem:0-0-1-2-0-0,مَِلْح,[مَِلْح]-[مَِلْح]-[مَِلْح]-[مَِلْح]-[مِلاح]-[أَمْلاح],adj,[MS||MD||FS||FD]-[MS||MD]-[MS]-[MS]-[MS]-[FS],[-]-[f]-[m]-[m]-[m]-[f],[-]-[-]-[p]-[p]-[p]-[p],[MS||MD||FS||FD]-[MS||MD]-[MS]-[MS]-[MS]-[FS] [-]-[f]-[m]-[m]-[m]-[f] [-]-[-]-[p]-[p]-[p]-[p] stem:0-0-1-2-0-0,OK~,,0,6,0
141,142,,stem:0-1-2-3-4-5-6,نائِم,[نائِم]-[نِيام]-[نُوّام]-[نُوَّم]-[نُوَم]-[نُيَّام]-[نُيَّم],adj,[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS]-[MS]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p]-[p]-[p] stem:0-1-2-3-4-5-6,OK~,,0,7,0
142,143,,stem:0-1,طَفْحان,[طَفْحان]-[طَفْح],adj,[MS||MD||MP||FS||FD||FP]-[MS||MD],[-]-[f],[-]-[-],[MS||MD||MP||FS||FD||FP]-[MS||MD] [-]-[f] [-]-[-] stem:0-1,OK~,,0,4,0
143,144,,stem:0-1-2,ناحِل,[ناحِل]-[نَحْل]-[نُحَّل],adj,[MS||MD||MP||FS||FD||FP]-[MS||MD||FP]-[MS],[-]-[f]-[m],[-]-[-]-[p],[MS||MD||MP||FS||FD||FP]-[MS||MD||FP]-[MS] [-]-[f]-[m] [-]-[-]-[p] stem:0-1-2,OK+,,0,39,0
144,145,,stem:0-1-2-3,غَضْبان,[غَضْبان]-[غِضاب]-[غَضْب]-[غَضاب],adj,[MS||MD||MP||FS||FD||FP]-[MS||MD||FP]-[MS]-[MS],[-]-[f]-[m]-[m],[-]-[-]-[p]-[p],[MS||MD||MP||FS||FD||FP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[m] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,0,8,0
145,146,,stem:0,عّهْر,[عَهْر],noun,[MS||MD||FS||FD||FP],[-],[-],[MS||MD||FS||FD||FP] [-] [-] stem:0,OK~,,2,0,0
146,147,,stem:0-0,حَُضُور,[حَُضُور],noun,[MS||MD]-[MS],[-]-[m],[-]-[p],[MS||MD]-[MS] [-]-[m] [-]-[p] stem:0-0,OK~,,2,0,0
147,148,,stem:0-1-2,أَب,[أَب]-[آبا]-[أَبَو],noun,[MS||MD]-[MS]-[MD],[-]-[m]-[-],[-]-[p]-[-],[MS||MD]-[MS]-[MD] [-]-[m]-[-] [-]-[p]-[-] stem:0-1-2,OK~,,3,0,0
148,149,,stem:0-1-2-3-4,أَحْمَق,[أَحْمَق]-[حَمْقا]-[حَمْق]-[حَمْقَان]-[حُمُق],adj,[MS||MD]-[MS]-[MS||MD||FP]-[MS]-[MS],[-]-[f]-[f]-[m]-[m],[-]-[p]-[-]-[p]-[p],[MS||MD]-[MS]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[f]-[m]-[m] [-]-[p]-[-]-[p]-[p] stem:0-1-2-3-4,OK~,,0,5,0
149,150,,stem:0-1-2,آخَر,[آخَر]-[أُخْر]-[أَوَاخِر],adj_comp,[MS||MD||FP]-[MS||MD||MP]-[MS],[f]-[-]-[m],[-]-[-]-[p],[MS||MD||FP]-[MS||MD||MP]-[MS] [f]-[-]-[m] [-]-[-]-[p] stem:0-1-2,OK~,,0,0,3
