,LINE,STATUS,COUNT,SIGNATURE,LEMMA,DIAC_AR,DIAC,FREQ,QC,Comments,PATTERN,STEM,BW,GLOSS,COND-S,COND-T,PREF-CAT,STEM-CAT,SUFF-CAT,FEATS,DEBUG,COLOR
834,835,OK-ONE,1,VERB.I2MS.AI,{isotaDA'_1,تَسْتَضِيءُ,tasotaDiy'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2MS+a/STEM+sotaD/IV+iy'/STEM+u/IVSUFF_SUBJ:2MS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I2MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-iy'+z-suff]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+c-suff+enc0+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
835,836,OK-ONE,1,VERB.I2FS.AI,{isotaDA'_1,تَسْتَضِيئِينَ,tasotaDiy}iyna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2FS+a/STEM+sotaD/IV+iy}/STEM+iyna/IVSUFF_SUBJ:2FS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I2FS.I]_[CS:v-suff+y-suff]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
836,837,OK-ONE,1,VERB.I2D.AI,{isotaDA'_1,تَسْتَضِيئانِ,tasotaDiy}Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2D+a/STEM+sotaD/IV+iy}/STEM+Ani/IVSUFF_SUBJ:2D_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2D.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I2D.I]_[CS:v-suff+A-suff+#^i]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-a>],pos:verb asp:i vox:a per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
837,838,OK-ONE,1,VERB.I2MP.AI,{isotaDA'_1,تَسْتَضِيئُونَ,tasotaDiy}uwna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2MP+a/STEM+sotaD/IV+iy}/STEM+uwna/IVSUFF_SUBJ:2MP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2MP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I2MP.I]_[CS:v-suff+w-suff]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:a per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
838,839,OK-ONE,1,VERB.I2FP.AI,{isotaDA'_1,تَسْتَضِئنَ,tasotaDi}na,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2FP+a/STEM+sotaD/IV+i}/STEM+na/IVSUFF_SUBJ:2FP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2FP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I2FP.I]_[CS:c-suff]_[CT:#-iy'+c-suff]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+#n],pos:verb asp:i vox:a per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
839,840,OK-ONE,1,VERB.I3MS.AI,{isotaDA'_1,يَسْتَضِيءُ,yasotaDiy'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MS+a/STEM+sotaD/IV+iy'/STEM+u/IVSUFF_SUBJ:3MS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-iy'+z-suff]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+c-suff+enc0+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
840,841,OK-ONE,1,VERB.I3FS.AI,{isotaDA'_1,تَسْتَضِيءُ,tasotaDiy'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV3FS+a/STEM+sotaD/IV+iy'/STEM+u/IVSUFF_SUBJ:3FS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3FS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-iy'+z-suff]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+c-suff+enc0+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:a per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
841,842,OK-ONE,1,VERB.I3MD.AI,{isotaDA'_1,يَسْتَضِيئانِ,yasotaDiy}Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MD+a/STEM+sotaD/IV+iy}/STEM+Ani/IVSUFF_SUBJ:3MD_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3MD.I]_[CS:v-suff+A-suff+#^i]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-a>],pos:verb asp:i vox:a per:3 gen:m num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
842,843,OK-ONE,1,VERB.I3FD.AI,{isotaDA'_1,تَسْتَضِيئانِ,tasotaDiy}Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV3FD+a/STEM+sotaD/IV+iy}/STEM+Ani/IVSUFF_SUBJ:3FD_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3FD.I]_[CS:v-suff+A-suff+#^i]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-a>],pos:verb asp:i vox:a per:3 gen:f num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
843,844,OK-ONE,1,VERB.I3MP.AI,{isotaDA'_1,يَسْتَضِيئُونَ,yasotaDiy}uwna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MP+a/STEM+sotaD/IV+iy}/STEM+uwna/IVSUFF_SUBJ:3MP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3MP.I]_[CS:v-suff+w-suff]_[CT:#-iy']_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:a per:3 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
844,845,OK-ONE,1,VERB.I3FP.AI,{isotaDA'_1,يَسْتَضِئنَ,yasotaDi}na,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3FP+a/STEM+sotaD/IV+i}/STEM+na/IVSUFF_SUBJ:3FP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#-iy'+hollow+intrans]_[CT:a-#]_[CF:>-#],S:[I3FP.I]_[CS:c-suff]_[CT:#-iy'+c-suff]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy+z-suff+#n],pos:verb asp:i vox:a per:3 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
845,846,OK-ONE,1,VERB.I1S.PI,{isotaDA'_1,أُسْتَضاءُ,>usotaDA'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),>/IV1S+u/STEM+sotaD/IV_PASS+A'/STEM+u/IVSUFF_SUBJ:1S_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I1S.I]_[CS:h-pref]_[CT:-]_[CF:a-#],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I1S.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
846,847,OK-ONE,1,VERB.I1P.PI,{isotaDA'_1,نُسْتَضاءُ,nusotaDA'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),n/IV1P+u/STEM+sotaD/IV_PASS+A'/STEM+u/IVSUFF_SUBJ:1P_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I1P.I]_[CS:-]_[CT:-]_[CF:enc0:1*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I1P.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
847,848,OK-ONE,1,VERB.I2MS.PI,{isotaDA'_1,تُسْتَضاءُ,tusotaDA'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2MS+u/STEM+sotaD/IV_PASS+A'/STEM+u/IVSUFF_SUBJ:2MS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I2MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
848,849,OK-ONE,1,VERB.I2FS.PI,{isotaDA'_1,تُسْتَضائِينَ,tusotaDA}iyna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2FS+u/STEM+sotaD/IV_PASS+A}/STEM+iyna/IVSUFF_SUBJ:2FS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I2FS.I]_[CS:v-suff+y-suff]_[CT:#-A'+y-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+z-suff||A-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:p per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
849,850,OK-ONE,1,VERB.I2D.PI,{isotaDA'_1,تُسْتَضاءانِ,tusotaDA'Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2D+u/STEM+sotaD/IV_PASS+A'/STEM+Ani/IVSUFF_SUBJ:2D_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2D.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I2D.I]_[CS:v-suff+A-suff+#^i]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-a>],pos:verb asp:i vox:p per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
850,851,OK-ONE,1,VERB.I2MP.PI,{isotaDA'_1,تُسْتَضاؤُونَ,tusotaDA&uwna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2MP+u/STEM+sotaD/IV_PASS+A&/STEM+uwna/IVSUFF_SUBJ:2MP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2MP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I2MP.I]_[CS:v-suff+w-suff]_[CT:#-A'+w-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+y-suff+z-suff||A-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:p per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
851,852,OK-ONE,1,VERB.I2FP.PI,{isotaDA'_1,تُسْتَضَأنَ,tusotaDa>na,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV2FP+u/STEM+sotaD/IV_PASS+a>/STEM+na/IVSUFF_SUBJ:2FP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I2FP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I2FP.I]_[CS:c-suff]_[CT:#-A'+c-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+z-suff||A-suff+#n],pos:verb asp:i vox:p per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
852,853,OK-ONE,1,VERB.I3MS.PI,{isotaDA'_1,يُسْتَضاءُ,yusotaDA'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MS+u/STEM+sotaD/IV_PASS+A'/STEM+u/IVSUFF_SUBJ:3MS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
853,854,OK-ONE,1,VERB.I3FS.PI,{isotaDA'_1,تُسْتَضاءُ,tusotaDA'u,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV3FS+u/STEM+sotaD/IV_PASS+A'/STEM+u/IVSUFF_SUBJ:3FS_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3FS.I]_[CS:v-suff+u-suff+z-suff]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
854,855,OK-ONE,1,VERB.I3MD.PI,{isotaDA'_1,يُسْتَضاءانِ,yusotaDA'Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MD+u/STEM+sotaD/IV_PASS+A'/STEM+Ani/IVSUFF_SUBJ:3MD_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3MD.I]_[CS:v-suff+A-suff+#^i]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-a>],pos:verb asp:i vox:p per:3 gen:m num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
855,856,OK-ONE,1,VERB.I3FD.PI,{isotaDA'_1,تُسْتَضاءانِ,tusotaDA'Ani,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),t/IV3FD+u/STEM+sotaD/IV_PASS+A'/STEM+Ani/IVSUFF_SUBJ:3FD_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3FD.I]_[CS:v-suff+A-suff+#^i]_[CT:#-A'+z-suff||A-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+c-suff+enc0+#-a>],pos:verb asp:i vox:p per:3 gen:f num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
856,857,OK-ONE,1,VERB.I3MP.PI,{isotaDA'_1,يُسْتَضاؤُونَ,yusotaDA&uwna,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3MP+u/STEM+sotaD/IV_PASS+A&/STEM+uwna/IVSUFF_SUBJ:3MP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3MP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3MP.I]_[CS:v-suff+w-suff]_[CT:#-A'+w-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+y-suff+z-suff||A-suff+c-suff+#-aY||#-aA],pos:verb asp:i vox:p per:3 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
857,858,OK-ONE,1,VERB.I3FP.PI,{isotaDA'_1,يُسْتَضَأنَ,yusotaDa>na,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),y/IV3FP+u/STEM+sotaD/IV_PASS+a>/STEM+na/IVSUFF_SUBJ:3FP_MOOD:I,be_lit;become_clear,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),P:[I3FP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#-A'+hollow+intrans]_[CT:u-#]_[CF:>-#],S:[I3FP.I]_[CS:c-suff]_[CT:#-A'+c-suff]_[CF:#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+w-suff+y-suff+z-suff||A-suff+#n],pos:verb asp:i vox:p per:3 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
858,859,OK-ZERO-E0-INTRANS,0,VERB.I1S.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
859,860,OK-ZERO-E0-INTRANS,0,VERB.I1P.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
860,861,OK-ZERO-E0-INTRANS,0,VERB.I2MS.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
861,862,OK-ZERO-E0-INTRANS,0,VERB.I2FS.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
862,863,OK-ZERO-E0-INTRANS,0,VERB.I2D.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
863,864,OK-ZERO-E0-INTRANS,0,VERB.I2MP.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
864,865,OK-ZERO-E0-INTRANS,0,VERB.I2FP.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
865,866,OK-ZERO-E0-INTRANS,0,VERB.I3MS.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
866,867,OK-ZERO-E0-INTRANS,0,VERB.I3FS.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
867,868,OK-ZERO-E0-INTRANS,0,VERB.I3MD.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
868,869,OK-ZERO-E0-INTRANS,0,VERB.I3FD.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
869,870,OK-ZERO-E0-INTRANS,0,VERB.I3MP.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,1
870,871,OK-ZERO-E0-INTRANS,0,VERB.I3FP.AI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 FSE0 PS0 XVox0,0
871,872,OK-ZERO-E0-INTRANS,0,VERB.I1S.PI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 PS0 XVox0 FSE0,1
872,873,OK-ZERO-E0-INTRANS,0,VERB.I1P.PI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 PS0 XVox0 FSE0,0
873,874,OK-ZERO-E0-INTRANS,0,VERB.I2MS.PI.E0,{isotaDA'_1,,,3,OK,,{isota1aAo>,[sotaD](0)[sotaD](1),,,[a-# #-iy' intrans](0)[u-# #-A' intrans](1),[-](0)(1),,,,,PP0 PS0 XVox0 FSE0,1
